Date,Day-number,MMM,AA,AAPL,AEP,ALL,AMD,AMGN,APD,ATT,BA,BAC,BMY,CAT,CL,COG,CPB,CTL,DD,DE,ED,EL,FORD,FLS,GD,HAL,IBM,JNJ,K,KO
19-Jul-10,40378.00,81.22,10.58,245.58,35.38,27.9,7.44,53.6,69.32,24.88,63.18,13.61,24.84,64.8,83.11,31.91,36.04,34.95,36.05,60.11,45.67,62.81,11.48,89.6,58.6,29.17,129.79,59.57,51.31,52.27
16-Jul-10,40375.00,80.95,10.41,249.9,34.76,27.83,7.37,52.17,69.32,24.69,61.9,13.98,25.17,63.94,82.83,31.87,35.82,34.58,35.98,59.73,45.06,63.47,11.34,88.76,58.9,27.51,128.03,59.44,51.05,52.37
15-Jul-10,40374.00,83.06,10.84,251.45,35.28,28.88,7.41,52.92,70.32,25,64.37,15.39,25.5,66.51,83.09,33.32,36.05,34.83,37.17,61.08,45.74,64.93,11.86,91.64,61.47,28.1,130.72,60.26,51.89,52.85
14-Jul-10,40373.00,83.05,10.91,252.73,34.86,29,7.44,52.62,70.26,24.96,64.75,15.67,25.09,66.7,83.31,33.5,35.88,35.02,37.09,59.72,45.57,65.12,11.81,92.19,61.61,28.17,130.72,60.62,52.06,52.82
13-Jul-10,40372.00,83.55,11,251.8,34.77,29.32,7.52,52.76,70.93,24.95,64.43,15.67,25.31,66.79,83.15,33.5,36.03,34.86,37.31,59.37,45.52,63.73,11.66,92.05,60.56,28.13,130.48,60.5,51.95,52.72
12-Jul-10,40371.00,82.26,10.87,257.28,34.87,29.11,7.36,52.44,69.17,24.84,64.34,15.21,25.26,64.28,82.84,33.16,35.96,34.43,36.52,57.48,45.4,62.15,11.1,89.98,59.87,28.17,128.67,60.21,51.63,52.45
9-Jul-10,40368.00,82.16,10.94,259.62,34.84,29.44,7.34,52.56,69.74,24.83,64.66,15.11,25.6,64.72,82.15,33.49,36.3,34.45,36.9,58.01,45.27,62.19,10.85,92.69,60.84,28.64,127.96,60.54,51.77,52.4
8-Jul-10,40367.00,81.22,10.72,258.09,34.77,29.21,7.37,52.23,68.78,24.57,64.73,14.86,25.58,63.17,81.96,33.61,36.48,34.34,36.29,57.26,45.32,61.5,10.62,91.46,60.97,28.71,127.97,61.38,51.94,52.42
7-Jul-10,40366.00,80.52,10.55,258.66,34.37,28.81,7.39,51.4,67.74,24.33,63.3,14.71,25.8,62.18,80.98,32.34,36.28,34.22,35.25,56.6,44.75,60.39,10.59,90.51,60.22,27.99,127,60.61,51.99,51.47
6-Jul-10,40365.00,78.14,10.21,248.63,33.26,27.93,7.04,51.3,65.74,24.41,61.36,14.06,25.24,59.81,78.77,31.19,35.69,33.4,34.05,54.63,43.62,58.66,10.16,86.73,58.64,26.46,123.46,59.08,51.31,50.43
5-Jul-10,40364.00,77.67,10,246.94,32.39,28.28,7.17,51.7,64.97,24.29,61.94,13.84,24.69,59.18,78.72,30.93,35.31,33.15,34.06,54.5,43.19,57.39,10.28,85.83,58.7,25.74,121.86,59.08,50.67,50.05
2-Jul-10,40361.00,77.67,10,246.94,32.39,28.28,7.17,51.7,64.97,24.29,61.94,13.84,24.69,59.18,78.72,30.93,35.31,33.15,34.06,54.5,43.19,57.39,10.28,85.83,58.7,25.74,121.86,59.08,50.67,50.05
1-Jul-10,40360.00,78.55,10.05,248.48,32.22,28.39,7.39,52.02,65,24.34,62.26,14.02,24.76,59.97,78.84,31.28,35.58,33.25,34.49,55.21,42.9,56.91,10.57,86.67,58.5,24.98,122.57,59.07,50.77,50.03
30-Jun-10,40359.00,78.99,10.06,251.53,32.3,28.73,7.32,52.6,64.81,24.19,62.75,14.37,24.94,60.07,78.76,31.32,35.83,33.31,34.59,55.68,43.1,55.73,10.08,84.8,58.56,24.55,123.48,59.06,50.3,50.12
29-Jun-10,40358.00,78.49,10.34,256.17,32.69,29.01,7.48,54.12,65.52,24.46,63.04,14.57,25.29,60.85,78,31.58,36.03,33.73,35.24,55.43,43.48,55.39,9.88,85.2,59.43,24.48,125.09,59.24,51.75,50.33
28-Jun-10,40357.00,78.98,11.03,268.3,33.31,30,8.05,55.41,67.79,24.95,67.3,15.24,25.57,64.4,79.24,33.37,36.56,34.15,36.23,58.51,44.14,56.19,10.43,89.37,62.26,25.99,128.98,59.45,52.51,51.08
25-Jun-10,40354.00,78.9,11.23,266.7,32.99,30.83,8.09,56.26,68.58,24.79,68.77,15.42,25.57,64.71,79.03,32.93,36.11,33.94,36.66,59.74,43.84,56.23,10.75,90.9,63.22,26.34,127.12,58.7,52.42,50.26
24-Jun-10,40353.00,78.18,11.11,269,32.72,29.57,8.13,56.15,67.32,25.05,67.43,15.02,25.35,63.37,80.32,32.49,36.46,34.29,36.52,58.19,43.76,56.51,10.78,90.6,63.25,25.21,128.19,59.6,52.86,51.8
23-Jun-10,40352.00,80.12,11.43,270.97,32.72,30.45,8.56,56.2,69,25.44,67.45,15.43,25.24,64.33,80.33,32.91,36.75,34.47,37.26,59.21,43.65,57.34,11.03,92.53,64.89,25.78,130.11,59.24,53.38,52.24
22-Jun-10,40351.00,80.03,11.29,273.85,33.3,30.55,8.58,56.12,70.22,25.36,66.28,15.58,25.44,64.11,80.94,33.18,36.63,34.6,37.45,59.1,43.81,57.76,11.22,91.22,65.45,25.99,129.3,59.16,53.48,52.46
21-Jun-10,40350.00,81.47,11.72,270.17,33.87,30.27,8.8,56.52,71.15,25.44,67.97,15.79,25.44,66.07,81.16,35.92,37.11,34.95,38.31,60.45,44.69,58.98,11.53,95.14,66.78,27.05,130.65,59.13,53.96,52.48
18-Jun-10,40347.00,81.18,11.11,274.07,34.06,30.54,8.83,55.2,71.54,25.43,67.96,15.82,25.78,65.85,80.59,36.43,37.15,34.97,38.36,59.26,44.89,59.94,11.46,94.61,66.9,26.98,130.15,59.18,54.47,52.31
17-Jun-10,40346.00,81.03,11.18,271.87,34,30.06,8.91,55.44,70.65,25.57,67.26,15.82,25.86,64.95,80.9,37.4,37.49,35.02,37.8,59.42,44.77,59.73,11.48,93.87,66.31,26.39,130.98,59.18,54.8,52.36
16-Jun-10,40345.00,80.88,11.41,267.25,33.68,30.22,8.9,55.22,70.54,25.52,67.03,15.87,25.88,64.39,80.63,38.22,36.99,34.82,37.76,59.34,44.42,59.45,11.63,94.85,66.29,26.25,130.35,59.24,54.2,52.4
15-Jun-10,40344.00,79.77,11.59,259.69,33.41,30.67,8.82,55.12,70.24,25.54,67.48,15.8,25.63,63.46,80.81,38.41,37,34.71,37.86,59.5,44.09,60.25,11.7,95.57,66.62,25.46,129.79,59.14,54.62,52.18
14-Jun-10,40343.00,78.14,11.34,254.28,32.41,29.95,8.28,54.07,69.02,25.17,64.82,15.41,25.29,61,79.32,37.01,36.69,34.24,36.86,57.64,43.35,58.16,11.46,91.53,64.31,24.02,128.5,58.42,54.47,51.51
11-Jun-10,40340.00,78.3,11.36,253.51,32.45,29.98,8.12,54.1,69.43,25.29,65.38,15.6,25.08,60.23,79.15,37.01,36.47,34.41,37.61,58.86,43.13,57.86,11.4,90.39,64.58,24.39,128.45,58.46,53.66,51.65
10-Jun-10,40339.00,77.43,11.25,250.51,32.68,29.8,8.01,54.01,68.91,25.44,63.89,15.46,24.64,59.95,79.47,36.36,36.57,34.29,36.99,57.87,43.09,58.11,11.39,90.02,64.07,24.22,127.68,58.5,54.33,52.45
9-Jun-10,40338.00,74.79,10.8,243.2,31.74,28.85,7.61,53.15,67.5,24.9,61.71,15.01,24.14,56.81,78.72,34.18,36.59,33.86,35.58,55.27,42.15,56.99,11.05,86.35,62.55,22.56,123.9,58.17,53.98,51.35
8-Jun-10,40337.00,74.92,10.76,249.33,31.72,29.25,7.77,53.82,66.81,24.97,61.02,15.33,24.3,56.61,78.76,34.49,36.71,33.76,35.49,55.06,42.46,56.07,11.22,83.01,62.65,23.02,123.72,58.64,54.35,51.56
